time|level|timeoffset|message|location
082415_142813.361|INFO|000.000466| Software version: Plus-2.3.0.4221 - Linux| in vtkPlusLogger(183)
082415_142813.361|INFO|000.000559| Logging at level 3 (INFO) to file: /home/snr/Support/Plus-build-codeblocks/bin/Output/082415_142813_PlusLog.txt| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusServer/Testing/PlusServer.cxx(85)
082415_142813.364|INFO|000.003404| before start internalupdate| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(1020)
082415_142813.364|INFO|000.003444| start internalupdate| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(1023)
082415_142813.386|INFO|000.025877| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.195026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.414|INFO|000.053206| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.175026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.463|INFO|000.102488| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.155026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.512|INFO|000.151785| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.135026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.562|INFO|000.201099| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.115026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.611|INFO|000.250407| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.095026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.660|INFO|000.299677| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.075026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.709|INFO|000.348972| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.055026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_142813.759|INFO|000.398282| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.035026| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
