time|level|timeoffset|message|location
082415_135927.596|INFO|000.000397| Software version: Plus-2.3.0.4221 - Linux| in vtkPlusLogger(183)
082415_135927.596|INFO|000.000479| Logging at level 3 (INFO) to file: /home/snr/Support/Plus-build-codeblocks/bin/Output/082415_135927_PlusLog.txt| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusServer/Testing/PlusServer.cxx(85)
082415_135927.598|WARNING|000.002102| No field "Id" defined in the source element TrackerStream. Unable to add it to the channel.| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusChannel.cxx(96)
082415_135927.599|INFO|000.002893| before start internalupdate| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(1020)
082415_135927.599|INFO|000.002923| start internalupdate| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(1023)
082415_135927.716|INFO|000.120426| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.022167| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_135927.721|INFO|000.125153| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -9.002167| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_135927.749|INFO|000.153322| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -8.982167| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_135927.782|INFO|000.186462| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -8.962167| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_135927.815|INFO|000.219599| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -8.942167| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082415_135927.848|INFO|000.252774| ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -8.922167| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
