time|level|timeoffset|message|location
071515_162237.320|INFO|000.000407| Software version: Plus-2.3.0.4217 - Linux| in vtkPlusLogger(183)
071515_162237.320|INFO|000.000489| Logging at level 3 (INFO) to file: /home/snr/Support/Plus-build-codeblocks/bin/Output/071515_162237_PlusLog.txt| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusServer/Testing/PlusServer.cxx(85)
071515_162237.323|INFO|000.004003| EmTracker: Local time offset: 0ms| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(869)
071515_162237.325|ERROR|000.005394| Image with relative path 'ElbowUltrasoundSweep.mha' cannot be found neither relative to image directory (/home/snr/Support/Plus-build-codeblocks/PlusLib/data/TestImages) nor to device set configuration directory (/home/snr/Documents) nor the current working directory directory (/home/snr/Support/Plus-build-codeblocks/bin)| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusCommon/vtkPlusConfig.cxx(829)
071515_162237.325|ERROR|000.005495| Image with relative path 'ElbowUltrasoundSweep.mha' cannot be found neither relative to image directory (/home/snr/Support/Plus-build-codeblocks/PlusLib/data/TestImages) nor to device set configuration directory (/home/snr/Documents) nor the current working directory directory (/home/snr/Support/Plus-build-codeblocks/bin)| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusCommon/vtkPlusConfig.cxx(829)
071515_162237.325|ERROR|000.005520| Unable to locate file: ElbowUltrasoundSweep.mha. Please verify location on disk.| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/SavedDataSource/vtkSavedDataSource.cxx(599)
071515_162237.325|ERROR|000.005542| Failed to read parameters of device: TrackedVideoDevice (type: SavedDataSource)| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkDataCollector.cxx(127)
071515_162237.325|ERROR|000.005576| Datacollector failed to read configuration| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusServer/Testing/PlusServer.cxx(117)
