time|level|timeoffset|message|location
082515_142354.749|INFO|000.000471| Software version: Plus-2.3.0.4221 - Linux| in vtkPlusLogger(183)
082515_142354.749|INFO|000.000565| Logging at level 3 (INFO) to file: /home/snr/Support/Plus-build-codeblocks/bin/Output/082515_142354_PlusLog.txt| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/PlusServer/Testing/PlusServer.cxx(85)
082515_142354.752|INFO|000.003486| before start internalupdate| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(1020)
082515_142354.752|INFO|000.003529| start internalupdate| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/vtkPlusDevice.cxx(1023)
082515_142354.951|INFO|000.202737| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.131238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142354.956|INFO|000.207457| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.110238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.002|INFO|000.252867| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.089238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.051|INFO|000.302134| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.068238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.100|INFO|000.351356| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.047238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.149|INFO|000.400657| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.026238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.199|INFO|000.449997| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -12.005238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.248|INFO|000.499325| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.984238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.297|INFO|000.548633| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.963238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.347|INFO|000.597932| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.942238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.396|INFO|000.647231| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.921238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.445|INFO|000.696521| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.900238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.495|INFO|000.745810| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.879238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.544|INFO|000.795031| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.858238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.593|INFO|000.844196| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.837238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.642|INFO|000.893374| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.816238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.691|INFO|000.942536| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.795238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.740|INFO|000.991699| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.774238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.790|INFO|001.040845| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.753238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.839|INFO|001.089994| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.732238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.888|INFO|001.139140| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.711238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
082515_142355.937|INFO|001.188287| 2 ToolTimeStampedUpdate failed for tool: ProbeToTracker with timestamp: -11.690238| in /home/snr/Support/Plus-build-codeblocks/PlusLib/src/DataCollection/OpenIGTLink/vtkOpenIGTLinkTracker.cxx(335)
